Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,PINDIPROLU,2,COMMERCIAL,158,138,21268,306.892
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,TALLACHERVU,2,COMMERCIAL,12,9,3627,44.74
KHAMMAM,KHAMMAM RURAL,YEDULAPURAM,TIRUMALAYAPALEM,TETTELAPADU,2,COMMERCIAL,38,35,2567,72.25
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,BHADRU THANDA-EK,2,COMMERCIAL,6,6,464,10.43
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,ENKOOR,2,COMMERCIAL,511,478,57706,928.08
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,ERRA BODU THANDA-EK,2,COMMERCIAL,2,1,0,1.24
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,G NACHARAM-EK,2,COMMERCIAL,10,5,6328,39.9
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,GARLA VODDU-EK,2,COMMERCIAL,36,31,4159,75.39
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,HIMAM NAGAR-EK,2,COMMERCIAL,15,13,1837,39.45
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,JANNARAM-EK,2,COMMERCIAL,53,48,7332,103.84
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,KESUPALLY-EK,2,COMMERCIAL,24,22,3083,43.59
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,KODANDA RAMPURAM THANDA-E,2,COMMERCIAL,8,4,226,9.72
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,KONAI PALEM-EK,2,COMMERCIAL,1,1,4,3
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,LACHA GUDEM-EK,2,COMMERCIAL,18,16,580,28.69
KHAMMAM,SATHUPALLY,THALLADA,ENKOOR,MARSU KUNTA-EK,2,COMMERCIAL,8,8,328,7.25
MAHABUBABAD,MAHABUBABAD,GUDUR,AYODHYAPURAM,NAYAKPALLY,2,COMMERCIAL,15,11,736,23.42
MAHABUBABAD,MAHABUBABAD,GUDUR,AYODHYAPURAM,PADAMATI THANDA,2,COMMERCIAL,6,4,35,10.24
MANCHERIAL,MANCHERIAL,LUXETTIPET,LUXETTIPET,HANMANTHPALLY,2,COMMERCIAL,12,10,600,17.18
MANCHERIAL,MANCHERIAL,LUXETTIPET,LUXETTIPET,ITKIYAL,2,COMMERCIAL,72,59,13318,213.269
MANCHERIAL,MANCHERIAL,LUXETTIPET,LUXETTIPET,JANDA VENKATAPUR,2,COMMERCIAL,29,29,3264,41.48
MANCHERIAL,MANCHERIAL,LUXETTIPET,LUXETTIPET,KOMMUGUDA,2,COMMERCIAL,31,28,3925,75.06
MANCHERIAL,MANCHERIAL,LUXETTIPET,LUXETTIPET,KOTHUR,2,COMMERCIAL,25,21,909,66.846
KAMAREDDY,YELLAREDDY,LINGAMPET,GANDHARI,TIMMAPOOR,2,COMMERCIAL,3,2,184,3.102
KAMAREDDY,YELLAREDDY,LINGAMPET,GANDHARI,TIPPARAM,2,COMMERCIAL,7,6,284,10.8
KAMAREDDY,YELLAREDDY,LINGAMPET,GANDHARI,TIPPARAM THANDA,2,COMMERCIAL,1,1,2,3
KAMAREDDY,YELLAREDDY,LINGAMPET,GANDHARI,VENDRIKAL,2,COMMERCIAL,3,2,31,3.04
KAMAREDDY,YELLAREDDY,LINGAMPET,GANDHARI,chadmal thanda,2,COMMERCIAL,1,1,12,1.852
KAMAREDDY,YELLAREDDY,LINGAMPET,GANDHARI,gurjalthanda,2,COMMERCIAL,3,3,31,6.17
KAMAREDDY,YELLAREDDY,LINGAMPET,LINGAMPET,BURIGIDDA,2,COMMERCIAL,1,0,0,0.24
KAMAREDDY,YELLAREDDY,LINGAMPET,LINGAMPET,ILAPOOR,2,COMMERCIAL,30,18,656,27.644
KAMAREDDY,YELLAREDDY,LINGAMPET,LINGAMPET,KANNAPOOR,2,COMMERCIAL,3,3,308,2.992
KAMAREDDY,YELLAREDDY,LINGAMPET,LINGAMPET,KOMATIPALLY,2,COMMERCIAL,10,5,151,12.799
KAMAREDDY,YELLAREDDY,LINGAMPET,LINGAMPET,LINGAMPALLY,2,COMMERCIAL,25,24,3077,126.3
KARIMNAGAR,HUZURABAD,HUZURABAD,SAIDAPUR,GOLLAGUDEM,2,COMMERCIAL,5,5,122,7.505
KARIMNAGAR,HUZURABAD,HUZURABAD,SAIDAPUR,GUJJULAPALLY,2,COMMERCIAL,16,15,1378,24.01
KARIMNAGAR,HUZURABAD,HUZURABAD,SAIDAPUR,GUNDLAPALLI,2,COMMERCIAL,4,4,217,9
KARIMNAGAR,HUZURABAD,HUZURABAD,SAIDAPUR,JAGIRIPALLY,2,COMMERCIAL,12,11,917,24.8
KARIMNAGAR,HUZURABAD,HUZURABAD,SAIDAPUR,KOMPALLY,2,COMMERCIAL,4,4,282,5
KARIMNAGAR,HUZURABAD,HUZURABAD,SAIDAPUR,LASMANNAPALLY,2,COMMERCIAL,12,12,404,12.02
KARIMNAGAR,HUZURABAD,HUZURABAD,SAIDAPUR,NALLARAMAIAHPALLY,2,COMMERCIAL,2,2,64,3
KARIMNAGAR,HUZURABAD,HUZURABAD,SAIDAPUR,PERKAPALLY,2,COMMERCIAL,18,17,1345,28.505
